,Artist,Track,Popularity,Track_Number,Album_Name,Total_Tracks,Release_Date
17,Noah Cyrus,July (feat. Leon Bridges),75,1,July (feat. Leon Bridges),1,2019-11-08
18,Lizzo,Good as Hell,75,15,Cuz I Love You (Super Deluxe),16,2019-04-17
19,Harry Styles,Lights Up,78,4,Fine Line,12,2019-12-13
20,iann dior,gone girl,74,3,Industry Plant,15,2019-11-08
21,Sam Smith,Dancing With A Stranger (with Normani),79,1,Dancing With A Stranger (with Normani),1,2019-01-11
22,The Chainsmokers,Call You Mine,77,7,World War Joy,10,2019-12-06
23,Y2K,Lalala,78,1,Lalala,1,2019-06-28
24,Billie Eilish,bury a friend,78,10,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,2019-03-29
25,Harry Styles,"Sunflower, Vol. 6",76,9,Fine Line,12,2019-12-13
26,Hozier,Almost (Sweet Music),71,2,"Wasteland, Baby!",14,2019-03-01
27,benny blanco,Graduation (with Juice WRLD),73,1,Graduation (with Juice WRLD),1,2019-08-30
28,A-Wall,Loverboy,76,1,Loverboy,1,2019-06-28
29,Billie Eilish,all the good girls go to hell,77,5,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,2019-03-29
30,dhruv,double take,82,1,double take,1,2019-05-24
31,Rex Orange County,It's Not The Same Anymore,74,10,Pony,10,2019-10-25
32,Wallows,Scrawny,73,5,Nothing Happens,11,2019-03-22
33,Flipp Dinero,Leave Me Alone,73,12,LOVE FOR GUALA,13,2019-11-22
34,Khalid,Talk (feat. Disclosure),75,5,Free Spirit,17,2019-04-05
35,Megan Thee Stallion,Cash Shit (feat. DaBaby),71,4,Fever,14,2019-05-17
36,Chris Brown,Under The Influence,79,3,Indigo (Extended),42,2019-10-04
37,James TW,When You Love Someone,79,2,Chapters,12,2019-04-26
38,NF,The Search,78,1,The Search,1,2019-05-30
39,carwash,striptease,75,1,striptease,1,2019-11-05
40,Ariana Grande,needy,75,2,"thank u, next",12,2019-02-08
41,Clairo,Bags,73,5,Immunity,11,2019-08-02
42,Logic,Homicide (feat. Eminem),76,2,Confessions of a Dangerous Mind,16,2019-05-10
43,Bea Miller,feel something,76,1,feel something,1,2019-06-21
44,NF,The Search,77,1,The Search,20,2019-07-26
45,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),79,2,No.6 Collaborations Project,15,2019-07-12
46,NF,When I Grow Up,75,8,The Search,20,2019-07-26
47,J.I the Prince of N.Y,Need Me,73,2,Hood Life Krisis Vol. 1,7,2019-10-11
48,Ed Sheeran,I Don't Care (with Justin Bieber),81,1,I Don't Care (with Justin Bieber),1,2019-05-10
0,Normani,Motivation,75,1,Motivation,1,2019-08-16
1,JayDaYoungan,23 Island,72,5,Misunderstood,19,2019-10-11
2,Lewis Capaldi,Before You Go,79,1,Before You Go,2,2019-11-19
3,Ed Sheeran,Beautiful People (feat. Khalid),79,1,Beautiful People (feat. Khalid),1,2019-06-28
4,Ruel,Painkiller,75,3,Free Time,7,2019-09-13
5,Florida Georgia Line,Simple,73,3,Can't Say I Ain't Country,19,2019-02-15
6,The Head And The Heart,Honeybee,71,4,Living Mirage,11,2019-05-17
7,Luis Fonsi,Despacito,81,9,VIDA,15,2019-02-01
8,Taylor Swift,Afterglow,76,15,Lover,18,2019-08-23
9,The Chainsmokers,Takeaway,78,6,World War Joy,10,2019-12-06
10,Dean Lewis,Half A Man,79,12,A Place We Knew,12,2019-03-22
11,Inayah,Best Thing,74,6,S.O.L.A.R.,12,2019-12-13
12,Josh A,Pain,78,10,Fearless,15,2019-01-12
13,Bryce Vine,La La Land (feat. YG),68,2,Carnival,11,2019-09-06
14,Lana Del Rey,Doin' Time,77,5,Norman Fucking Rockwell!,14,2019-08-30
15,NF,Time,74,6,The Search,20,2019-07-26
16,Taylor Swift,I Forgot That You Existed,74,1,Lover,18,2019-08-23
17,Shawn Mendes,Señorita,81,1,Shawn Mendes (Deluxe),16,2019-06-19
18,AJR,100 Bad Days,68,3,Neotheater,12,2019-04-26
19,Dean Lewis,Be Alright,77,6,A Place We Knew,12,2019-03-22
20,24kGoldn,VALENTINO,75,5,DROPPED OUTTA COLLEGE,8,2019-11-22
21,Daniel Caesar,CYANIDE,73,2,CASE STUDY 01,10,2019-06-28
22,Doja Cat,Won't Bite (feat. Smino),73,2,Hot Pink,12,2019-11-07
23,Mabel,Don't Call Me Up,81,1,Ivy To Roses (Mixtape),15,2019-01-18
24,MEDUZA,Lose Control,82,1,Lose Control,1,2019-10-11
25,MAX,Love Me Less (feat. Quinn XCII),70,1,Love Me Less (feat. Quinn XCII),1,2019-04-05
